Match count: 15. OK   : Compare 16_1 with 2_7. Expected match: false Computed match: false
Match count: 16. OK   : Compare 14_1 with 3_8. Expected match: false Computed match: false
Match count: 13. OK   : Compare 2_1 with 5_3. Expected match: false Computed match: false
Match count: 20. ERROR: Compare 14_1 with 4_1. Expected match: false Computed match: true
Match count: 22. ERROR: Compare 14_1 with 4_2. Expected match: false Computed match: true
Match count: 22. ERROR: Compare 14_1 with 4_3. Expected match: false Computed match: true
Match count: 17. OK   : Compare 15_1 with 4_2. Expected match: false Computed match: false
Match count: 21. ERROR: Compare 14_1 with 4_4. Expected match: false Computed match: true
Match count: 18. OK   : Compare 11_1 with 4_4. Expected match: false Computed match: false
Match count: 18. OK   : Compare 10_1 with 3_1. Expected match: false Computed match: false
Match count: 22. ERROR: Compare 14_1 with 4_5. Expected match: false Computed match: true
Match count: 20. ERROR: Compare 14_1 with 4_6. Expected match: false Computed match: true
Match count: 24. ERROR: Compare 14_1 with 4_7. Expected match: false Computed match: true
Match count: 23. ERROR: Compare 14_1 with 4_8. Expected match: false Computed match: true
Match count: 15. OK   : Compare 6_1 with 5_4. Expected match: false Computed match: false
Match count: 13. OK   : Compare 8_1 with 3_6. Expected match: false Computed match: false
Match count: 11. OK   : Compare 5_1 with 2_6. Expected match: false Computed match: false
Match count: 12. OK   : Compare 15_1 with 4_3. Expected match: false Computed match: false
Match count: 12. OK   : Compare 1_1 with 5_3. Expected match: false Computed match: false
Match count: 12. OK   : Compare 2_1 with 5_4. Expected match: false Computed match: false
Match count: 17. OK   : Compare 16_1 with 2_8. Expected match: false Computed match: false
Match count: 13. OK   : Compare 11_1 with 4_5. Expected match: false Computed match: false
Match count: 13. OK   : Compare 8_1 with 3_7. Expected match: false Computed match: false
Match count: 13. OK   : Compare 4_1 with 3_8. Expected match: false Computed match: false
Match count: 51. OK   : Compare 4_1 with 4_1. Expected match: true Computed match: true
Match count: 23. OK   : Compare 4_1 with 4_2. Expected match: true Computed match: true
Match count: 14. OK   : Compare 6_1 with 5_5. Expected match: false Computed match: false
Match count: 42. OK   : Compare 4_1 with 4_3. Expected match: true Computed match: true
Match count: 12. OK   : Compare 1_1 with 5_4. Expected match: false Computed match: false
Match count: 23. OK   : Compare 4_1 with 4_4. Expected match: true Computed match: true
Match count: 13. OK   : Compare 5_1 with 2_7. Expected match: false Computed match: false
Match count: 20. OK   : Compare 4_1 with 4_5. Expected match: true Computed match: true
Match count: 13. OK   : Compare 11_1 with 4_6. Expected match: false Computed match: false
Match count: 20. OK   : Compare 4_1 with 4_6. Expected match: true Computed match: true
Match count: 20. OK   : Compare 4_1 with 4_7. Expected match: true Computed match: true
Match count: 22. OK   : Compare 4_1 with 4_8. Expected match: true Computed match: true
Match count: 20. ERROR: Compare 14_1 with 5_1. Expected match: false Computed match: true
Match count: 17. OK   : Compare 10_1 with 3_2. Expected match: false Computed match: false
Match count: 15. OK   : Compare 6_1 with 5_6. Expected match: false Computed match: false
Match count: 11. OK   : Compare 2_1 with 5_5. Expected match: false Computed match: false
Match count: 15. OK   : Compare 3_1 with 4_4. Expected match: false Computed match: false
Match count: 16. OK   : Compare 15_1 with 4_4. Expected match: false Computed match: false
Match count: 17. OK   : Compare 16_1 with 3_1. Expected match: false Computed match: false
Match count: 14. OK   : Compare 11_1 with 4_7. Expected match: false Computed match: false
Match count: 14. OK   : Compare 1_1 with 5_5. Expected match: false Computed match: false
Match count: 12. OK   : Compare 5_1 with 2_8. Expected match: false Computed match: false
Match count: 14. OK   : Compare 8_1 with 3_8. Expected match: false Computed match: false
Match count: 13. OK   : Compare 10_1 with 3_3. Expected match: false Computed match: false
Match count: 12. OK   : Compare 15_1 with 4_5. Expected match: false Computed match: false
Match count: 15. OK   : Compare 4_1 with 5_1. Expected match: false Computed match: false
Match count: 15. OK   : Compare 6_1 with 5_7. Expected match: false Computed match: false
Match count: 13. OK   : Compare 11_1 with 4_8. Expected match: false Computed match: false
Match count: 12. OK   : Compare 1_1 with 5_6. Expected match: false Computed match: false
Match count: 11. OK   : Compare 2_1 with 5_6. Expected match: false Computed match: false
Match count: 16. OK   : Compare 8_1 with 4_1. Expected match: false Computed match: false
Match count: 11. OK   : Compare 3_1 with 4_5. Expected match: false Computed match: false
Match count: 11. OK   : Compare 10_1 with 3_4. Expected match: false Computed match: false
Match count: 16. OK   : Compare 14_1 with 5_2. Expected match: false Computed match: false
Match count: 12. OK   : Compare 15_1 with 4_6. Expected match: false Computed match: false
Match count: 14. OK   : Compare 6_1 with 5_8. Expected match: false Computed match: false
Match count: 23. OK   : Compare 6_1 with 6_1. Expected match: true Computed match: true
Match count: 18. ERROR: Compare 6_1 with 6_2. Expected match: true Computed match: false
Match count: 19. ERROR: Compare 6_1 with 6_3. Expected match: true Computed match: false
Match count: 16. OK   : Compare 5_1 with 3_1. Expected match: false Computed match: false
Match count: 15. OK   : Compare 11_1 with 5_1. Expected match: false Computed match: false
Match count: 19. OK   : Compare 16_1 with 3_2. Expected match: false Computed match: false
Match count: 17. ERROR: Compare 6_1 with 6_4. Expected match: true Computed match: false
Match count: 10. OK   : Compare 10_1 with 3_5. Expected match: false Computed match: false
Match count: 21. OK   : Compare 6_1 with 6_5. Expected match: true Computed match: true
Match count: 13. OK   : Compare 1_1 with 5_7. Expected match: false Computed match: false
Match count: 19. ERROR: Compare 6_1 with 6_6. Expected match: true Computed match: false
Match count: 13. OK   : Compare 3_1 with 4_6. Expected match: false Computed match: false
Match count: 20. OK   : Compare 6_1 with 6_7. Expected match: true Computed match: true
Match count: 14. OK   : Compare 4_1 with 5_2. Expected match: false Computed match: false
Match count: 15. OK   : Compare 15_1 with 4_7. Expected match: false Computed match: false
